region,holeCount,rating,PopDensity,avg_income,MedianHHIncome,n_courses
midwest,12.78001549186677,3.296844181459566,376.28608559256605,65420.247143756744,64082.951200619675,2582
northeast,14.813725490196079,3.4129692832764507,535.1862483660138,76407.32839189541,68872.20424836602,612
southeast,14.737483953786906,3.451841359773371,426.4436168164306,63305.83986374197,59979.71758664955,1558
southwest,13.80241935483871,3.3378378378378377,595.999900537633,68296.29155451617,62011.845430107525,744
west,13.80673076923077,3.3365384615384617,327.4482298076922,74208.38461018265,70818.75576923077,1040
