,id,name,type,variable,year,PopDensity,Area_1,Area_2
859995,0500000US29147,"Nodaway County, Missouri",county,density,2018,25.71,Nodaway County,Missouri
859998,0500000US29041,"Chariton County, Missouri",county,density,2018,10.046,Chariton County,Missouri
860001,0500000US29079,"Grundy County, Missouri",county,density,2018,23.064,Grundy County,Missouri
860004,0500000US29141,"Morgan County, Missouri",county,density,2018,33.695,Morgan County,Missouri
860007,0500000US29223,"Wayne County, Missouri",county,density,2018,17.53,Wayne County,Missouri
860010,0500000US29017,"Bollinger County, Missouri",county,density,2018,19.875,Bollinger County,Missouri
860013,0500000US29031,"Cape Girardeau County, Missouri",county,density,2018,135.38299999999998,Cape Girardeau County,Missouri
860016,0500000US29205,"Shelby County, Missouri",county,density,2018,12.100999999999999,Shelby County,Missouri
860019,0500000US29225,"Webster County, Missouri",county,density,2018,64.267,Webster County,Missouri
860022,0500000US29005,"Atchison County, Missouri",county,density,2018,9.629,Atchison County,Missouri
860025,0500000US29013,"Bates County, Missouri",county,density,2018,19.57,Bates County,Missouri
860028,0500000US29015,"Benton County, Missouri",county,density,2018,26.971,Benton County,Missouri
860031,0500000US29035,"Carter County, Missouri",county,density,2018,12.214,Carter County,Missouri
860034,0500000US29057,"Dade County, Missouri",county,density,2018,15.489,Dade County,Missouri
860037,0500000US29115,"Linn County, Missouri",county,density,2018,19.796,Linn County,Missouri
860040,0500000US29091,"Howell County, Missouri",county,density,2018,43.248000000000005,Howell County,Missouri
860043,0500000US29101,"Johnson County, Missouri",county,density,2018,64.742,Johnson County,Missouri
860046,0500000US29105,"Laclede County, Missouri",county,density,2018,46.431999999999995,Laclede County,Missouri
860049,0500000US29125,"Maries County, Missouri",county,density,2018,16.858,Maries County,Missouri
860052,0500000US29161,"Phelps County, Missouri",county,density,2018,66.672,Phelps County,Missouri
860055,0500000US29165,"Platte County, Missouri",county,density,2018,235.18900000000002,Platte County,Missouri
860058,0500000US29187,"St. Francois County, Missouri",county,density,2018,146.811,St. Francois County,Missouri
860061,0500000US29003,"Andrew County, Missouri",county,density,2018,40.219,Andrew County,Missouri
860064,0500000US29033,"Carroll County, Missouri",county,density,2018,12.731,Carroll County,Missouri
860067,0500000US29061,"Daviess County, Missouri",county,density,2018,14.74,Daviess County,Missouri
860070,0500000US29103,"Knox County, Missouri",county,density,2018,7.8389999999999995,Knox County,Missouri
860073,0500000US29127,"Marion County, Missouri",county,density,2018,65.622,Marion County,Missouri
860076,0500000US29151,"Osage County, Missouri",county,density,2018,22.535,Osage County,Missouri
860079,0500000US29181,"Ripley County, Missouri",county,density,2018,21.750999999999998,Ripley County,Missouri
860082,0500000US29219,"Warren County, Missouri",county,density,2018,79.113,Warren County,Missouri
860085,0500000US29007,"Audrain County, Missouri",county,density,2018,37.177,Audrain County,Missouri
860088,0500000US29043,"Christian County, Missouri",county,density,2018,149.784,Christian County,Missouri
860091,0500000US29077,"Greene County, Missouri",county,density,2018,427.11,Greene County,Missouri
860094,0500000US29081,"Harrison County, Missouri",county,density,2018,11.839,Harrison County,Missouri
860097,0500000US29185,"St. Clair County, Missouri",county,density,2018,14.005,St. Clair County,Missouri
860100,0500000US29001,"Adair County, Missouri",county,density,2018,44.638999999999996,Adair County,Missouri
860103,0500000US29199,"Scotland County, Missouri",county,density,2018,11.217,Scotland County,Missouri
860106,0500000US29211,"Sullivan County, Missouri",county,density,2018,9.749,Sullivan County,Missouri
860109,0500000US29045,"Clark County, Missouri",county,density,2018,13.474,Clark County,Missouri
860112,0500000US29099,"Jefferson County, Missouri",county,density,2018,340.07300000000004,Jefferson County,Missouri
860115,0500000US29111,"Lewis County, Missouri",county,density,2018,19.854,Lewis County,Missouri
860118,0500000US29143,"New Madrid County, Missouri",county,density,2018,26.393,New Madrid County,Missouri
860121,0500000US29157,"Perry County, Missouri",county,density,2018,40.361999999999995,Perry County,Missouri
860124,0500000US29173,"Ralls County, Missouri",county,density,2018,21.748,Ralls County,Missouri
