id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome,region,fips,County
loyal-and-eight-pin-disc-golf-course,The Loyal and Eight-Pin Disc Golf Course,Marine on St. Croix,Washington County,"Washington County, MN",MN,USA,8,,45.1984344,-92.770531,55047,659.196,1410,167396,118720.56737588653,101409.0,midwest,27163,Washington County
cp-adams-park,C.P. Adams Park,Hastings,Dakota County,"Dakota County, MN",MN,USA,18,3.0,44.7297248,-92.8349615,55033,743.908,15240,1127816,74003.67454068242,90562.0,midwest,27037,Dakota County
hastings-middle-school-disc-golf-course,Hastings Middle School Disc Golf Course,Hastings,Dakota County,"Dakota County, MN",MN,USA,9,,44.7357305,-92.8658072,55033,743.908,15240,1127816,74003.67454068242,90562.0,midwest,27037,Dakota County
alimagnet-lake-park-disc-golf-course,Alimagnet Lake Park Disc Golf Course,Apple Valley,Dakota County,"Dakota County, MN",MN,USA,12,5.0,44.73967929999999,-93.2450742,55124,743.908,28250,2332343,82560.81415929201,90562.0,midwest,27037,Dakota County
apple-valley-high-school,Apple Valley High School,Apple Valley,Dakota County,"Dakota County, MN",MN,USA,6,,44.7421285,-93.2308247,55124,743.908,28250,2332343,82560.81415929201,90562.0,midwest,27037,Dakota County
brockway-disc-golf-course,Brockway Disc Golf Course,Rosemount,Dakota County,"Dakota County, MN",MN,USA,9,4.0,44.7517086,-93.121701,55068,743.908,14940,1289123,86286.68005354753,90562.0,midwest,27037,Dakota County
empire-disc-golf-course,Empire Disc Golf Course,Farmington,Dakota County,"Dakota County, MN",MN,USA,9,,44.6596336,-93.1217346,55042,743.908,5640,810351,143679.2553191489,90562.0,midwest,27037,Dakota County
garlough-park,Garlough Park,West Saint Paul,Dakota County,"Dakota County, MN",MN,USA,9,4.0,44.8922042,-93.0948427,55118,743.908,15240,1571797,103136.28608923883,90562.0,midwest,27037,Dakota County
inver-hills-community-college-disc-golf-course,Inver Hills Community College Disc Golf Course,Inver Grove Hieghts,Dakota County,"Dakota County, MN",MN,USA,9,,44.8281474,-93.0542162,55076,743.908,11760,824582,70117.51700680272,90562.0,midwest,27037,Dakota County
valley-disc-golf-course,The Valley Disc Golf Course,Inver Grove Heights,Dakota County,"Dakota County, MN",MN,USA,18,4.0,44.84999420000001,-93.0485182,55076,743.908,11760,824582,70117.51700680272,90562.0,midwest,27037,Dakota County
