region,avg_income,holeCount,rating,n_courses,total_income
midwest,65654.10518148568,12.761249535143175,3.305738476011289,2689,1475678076
northeast,76394.09763112082,14.861513687600644,3.4161073825503356,621,383306400
southeast,63356.49239454157,14.723153320918684,3.4545454545454546,1611,1147142374
southwest,68164.10004506182,13.77807486631016,3.3367003367003365,748,658702828
west,73987.12398280542,13.763851044504996,3.3449541284403668,1101,880245720
