id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome
cook-station-park,Cook Station Park,Millersburg,Elkhart County,"Elkhart County, IN",IN,USA,9,,41.532160499999996,-85.69692009999999,46543,439.588,1650,108774,65923.63636,66801.0
ferrettie-baugo-creek-county-park,Ferrettie Baugo Creek County Park,Osceola,Elkhart County,"Elkhart County, IN",IN,USA,18,2.0,41.6658697,-86.0611766,46561,439.588,6700,409838,61169.85075,66801.0
ox-bow-county-park,Ox Bow County Park,Elkhart,Elkhart County,"Elkhart County, IN",IN,USA,24,4.0,41.628971,-85.9060927,46516,439.588,14890,712384,47843.11619,66801.0
lodge-disc-golf-course,The Lodge Disc Golf Course,Syracuse,Elkhart County,"Elkhart County, IN",IN,USA,18,,41.434417700000004,-85.7237625,46567,439.588,4860,388522,79942.79835,66801.0
countryside-park,Countryside Park,Portage,Porter County,"Porter County, IN",IN,USA,21,,41.5518169,-87.211512,46368,401.865,19550,1089102,55708.5422,78732.0
lituanica-park,Lituanica Park,Beverly Shores,Porter County,"Porter County, IN",IN,USA,5,,41.6868159,-86.9896215,46360,401.865,19840,1012297,51023.03427,78732.0
hawthorne-park,Hawthorne Park,Porter,Porter County,"Porter County, IN",IN,USA,9,,41.6200166,-87.0681562,46304,401.865,13060,1062927,81387.97856,78732.0
rogers-lakewood-park,Rogers Lakewood Park,Valparaiso,Porter County,"Porter County, IN",IN,USA,24,5.0,41.5169086,-87.06549040000002,46385,401.865,20280,1819840,89735.7002,78732.0
covington-city-park,Covington City Park,Covington,Fountain County,"Fountain County, IN",IN,USA,9,4.0,40.147988899999994,-87.3980343,47932,41.668,2490,143341,57566.666670000006,55627.0
ravine-park,Ravine Park,Attica,Fountain County,"Fountain County, IN",IN,USA,9,,40.2906745,-87.23757509999999,47918,41.668,2770,145145,52398.91697,55627.0
creek-ridge-disc-golf,Creek Ridge Disc Golf,Michigan City,LaPorte County,"LaPorte County, IN",IN,USA,9,2.0,41.6658301,-86.85314009999999,46360,184.77700000000002,19840,1012297,51023.03427,63999.0
purdue-north-central-1,Purdue Northwest,Westville,LaPorte County,"LaPorte County, IN",IN,USA,18,,41.5837615,-86.8939173,46391,184.77700000000002,3050,200021,65580.65574,63999.0
crestmont,Crestmont,Bloomington,Monroe County,"Monroe County, IN",IN,USA,18,3.0,39.17732879999999,-86.5473922,47404,368.56699999999995,9680,523778,54109.29752000001,61808.0
edgewood-disc-golf-course,Edgewood Disc Golf Course,Ellettsville,Monroe County,"Monroe County, IN",IN,USA,9,,39.2333145,-86.643135,47429,368.56699999999995,3770,202014,53584.61538,61808.0
karst-farm-park,Karst Farm Park,Bloomington,Monroe County,"Monroe County, IN",IN,USA,18,2.0,39.1393863,-86.5987068,47401,368.56699999999995,18190,1579723,86845.68444,61808.0
rogers-elementary,Rogers Elementary,Bloomington,Monroe County,"Monroe County, IN",IN,USA,6,,39.1600883,-86.5068313,47401,368.56699999999995,18190,1579723,86845.68444,61808.0
sherwood-oaks,Sherwood Oaks Christian Church,Bloomington,Monroe County,"Monroe County, IN",IN,USA,9,2.0,39.1348935,-86.5009225,47401,368.56699999999995,18190,1579723,86845.68444,61808.0
cupertinos-course,Cupertino's Course,St. Meinrad,Spencer County,"Spencer County, IN",IN,USA,18,,38.171079399999996,-86.80919509999998,47577,51.736000000000004,490,23842,48657.14286,66667.0
goose-hollow-disc-golf-course,Goose Hollow Disc Golf Course,Grandview,Spencer County,"Spencer County, IN",IN,USA,9,,37.9336626,-86.9811059,47615,51.736000000000004,710,36396,51261.97183,66667.0
dans-disc-golf,Dan's Disc Golf,Eckerty,Crawford County,"Crawford County, IN",IN,USA,9,,38.3203908,-86.6125881,47116,34.619,320,12474,38981.25,46884.0
patoka-lake-state-rec-area,Patoka Lake State Rec Area,Birdseye,Crawford County,"Crawford County, IN",IN,USA,18,,38.383701,-86.6439988,47513,34.619,990,49248,49745.45455,46884.0
david-imbrock-memorial-disc-golf-course,David Imbrock Memorial Disc Golf at Bixler Lake,Kendallville,Noble County,"Noble County, IN",IN,USA,18,,41.4395975,-85.24766629999999,46755,115.49700000000001,7370,377348,51200.54274,62173.0
hidden-diamonds,Hidden Diamonds,Albion,Noble County,"Noble County, IN",IN,USA,9,,41.3898231,-85.42022659999999,46701,115.49700000000001,3590,195532,54465.73816,62173.0
little-slice-heaven,Little Slice of Heaven,Churubusco,Noble County,"Noble County, IN",IN,USA,9,,41.2833566,-85.3848517,46723,115.49700000000001,3740,232980,62294.11765,62173.0
decatur-county-park-disc-golf-course,Decatur County Park Disc Golf Course,Greensburg,Decatur County,"Decatur County, IN",IN,USA,9,,39.3308348,-85.5160204,47240,71.268,10470,582936,55676.79083,61561.0
delt-church-park,Delt Church Park,Wolcottville,LaGrange County,"LaGrange County, IN",IN,USA,18,,41.548543,-85.461466,46795,102.58,2950,201111,68173.22034,72513.0
deming-park,Deming Park - North,Terre Haute,Vigo County,"Vigo County, IN",IN,USA,18,4.0,39.466148499999996,-87.35446359999999,47803,267.02099999999996,9990,601889,60249.14915,45897.0
deming-park-south,Deming Park - South,Terre Haute,Vigo County,"Vigo County, IN",IN,USA,18,,39.466148499999996,-87.35446359999999,47803,267.02099999999996,9990,601889,60249.14915,45897.0
east-swinney-park,East Swinney Park,Fort Wayne,Allen County,"Allen County, IN",IN,USA,18,3.0,41.0735732,-85.158789,46808,562.9259999999999,9520,363224,38153.78151,61039.0
west-swinney-park,West Swinney Park,Fort Wayne,Allen County,"Allen County, IN",IN,USA,18,5.0,41.0725146,-85.16728459999999,46808,562.9259999999999,9520,363224,38153.78151,61039.0
mastodon-disc-golf-course-purdue,Mastodon Disc Golf Course at Purdue,Fort Wayne,Allen County,"Allen County, IN",IN,USA,18,,41.1210565,-85.1171835,46805,562.9259999999999,9980,417818,41865.53106,61039.0
moser-park,Moser Park,Fort Wayne (New Haven),Allen County,"Allen County, IN",IN,USA,18,3.0,41.0740342,-85.0217219,46774,562.9259999999999,8650,447756,51763.69942,61039.0
shoaff-park,Shoaff Park,Fort Wayne,Allen County,"Allen County, IN",IN,USA,24,5.0,41.1439359,-85.096704,46835,562.9259999999999,18380,1131178,61543.960829999996,61039.0
